                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.471,                 3.4119,                 1.8344,                0.00696,                      1,                0.44879,                 0.1443,                 1.2501,                 3.3068,                 1.7117,             0.00015003,             0.00015003,             0.00015003
                      2,                  1.226,                 2.3258,                 1.5179,                0.94927,                0.45667,                0.87207,                0.49219,                 1.2776,                  2.401,                 1.4806,             0.00031359,             0.00031359,             0.00031359
                      3,                 1.1693,                 1.8065,                 1.4507,                      1,                0.08839,                0.82299,                0.42501,                 1.4365,                 2.5837,                 1.5985,             0.00047386,             0.00047386,             0.00047386
                      4,                 1.1791,                 1.6694,                 1.3886,                      1,                0.55042,                0.92432,                0.52626,                 1.3692,                 2.1056,                 1.5171,             0.00063082,             0.00063082,             0.00063082
                      5,                 1.1619,                  1.594,                 1.3343,                0.63565,                0.63415,                0.64657,                0.31946,                 1.6898,                 2.0013,                 1.9145,             0.00078448,             0.00078448,             0.00078448
                      6,                 1.1359,                 1.4938,                 1.3563,                0.67151,                0.64833,                0.73532,                0.38338,                 1.4284,                 1.6743,                 1.6315,             0.00093485,             0.00093485,             0.00093485
                      7,                 1.1283,                 1.3687,                 1.3164,                0.53813,                 0.4878,                0.56685,                0.26298,                 1.6751,                 2.0459,                  1.742,              0.0010819,              0.0010819,              0.0010819
                      8,                 1.1415,                 1.3762,                 1.3397,                0.84593,                0.70732,                0.82243,                0.47092,                  1.545,                 1.6142,                 1.5972,              0.0012257,              0.0012257,              0.0012257
                      9,                 1.1087,                  1.349,                  1.305,                0.80516,                0.78049,                0.87169,                0.50901,                 1.4505,                 1.4389,                 1.5724,              0.0013661,              0.0013661,              0.0013661
                     10,                 1.1432,                 1.1831,                 1.3004,                 0.7318,                0.70732,                0.74425,                0.38273,                 1.5343,                 1.4828,                  1.735,              0.0015033,              0.0015033,              0.0015033
                     11,                 1.1167,                 1.2015,                 1.2671,                0.94339,                0.81307,                0.89271,                0.56047,                 1.4147,                 1.1539,                 1.5475,               0.001502,               0.001502,               0.001502
