                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.99826,                0.77803,                 1.2329,                 0.8974,                0.87436,                0.93272,                 0.6476,                 1.0845,                0.64907,                 1.3773,              0.0011059,              0.0011059,              0.0011059
                     36,                 0.9956,                0.77056,                 1.2243,                0.78543,                0.89305,                0.90657,                0.62706,                 1.0656,                 0.6747,                 1.4022,              0.0010894,              0.0010894,              0.0010894
                     37,                0.96704,                0.74738,                 1.2137,                0.87157,                0.78137,                0.89156,                0.62099,                 1.0975,                0.74303,                 1.4028,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.0139,                0.77345,                 1.2318,                0.90176,                0.90662,                  0.908,                  0.631,                  1.049,                0.61778,                  1.344,              0.0010564,              0.0010564,              0.0010564
                     39,                0.94433,                0.80303,                 1.2009,                0.88591,                0.84902,                 0.9203,                0.63603,                 1.1231,                0.65635,                 1.4036,              0.0010399,              0.0010399,              0.0010399
                     40,                0.94268,                0.75146,                  1.204,                0.82125,                0.86196,                0.90425,                0.64112,                 1.0692,                0.76912,                 1.3535,              0.0010234,              0.0010234,              0.0010234
                     41,                0.97477,                0.71686,                 1.1984,                0.84977,                0.88183,                0.91711,                0.63943,                 1.0695,                0.62405,                 1.3584,              0.0010069,              0.0010069,              0.0010069
                     42,                0.90224,                 0.7043,                   1.18,                0.88031,                0.86866,                0.91239,                0.63583,                 1.1583,                0.66975,                 1.4338,             0.00099036,             0.00099036,             0.00099036
                     43,                0.94225,                0.77651,                 1.2117,                0.83298,                0.90381,                0.90317,                0.65648,                 1.0638,                0.61734,                 1.3612,             0.00097386,             0.00097386,             0.00097386
                     44,                0.95235,                 0.7492,                   1.21,                0.84191,                0.86577,                0.90982,                 0.6332,                 1.0776,                0.62088,                 1.4354,             0.00095736,             0.00095736,             0.00095736
                     45,                0.90399,                0.71358,                 1.1686,                0.94144,                0.82821,                0.93104,                0.65005,                 1.0609,                0.61378,                  1.397,             0.00094085,             0.00094085,             0.00094085
