                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.76165,                0.67053,                 1.0998,                0.47603,                0.75742,                0.64987,                0.34499,                  1.765,                 1.4885,                 1.8602,              0.0011059,              0.0011059,              0.0011059
                     36,                0.80018,                0.75715,                 1.1824,                0.26162,                0.73847,                0.32801,                0.16459,                  1.885,                 1.9043,                 2.1806,              0.0010894,              0.0010894,              0.0010894
                     37,                0.76009,                0.77324,                 1.1391,                0.26162,                0.73847,                0.32801,                0.16459,                  1.885,                 1.9043,                 2.1806,              0.0010729,              0.0010729,              0.0010729
                     38,                0.74933,                0.60288,                 1.0838,                0.53226,                0.58333,                0.43879,                0.21112,                 1.8494,                 2.2549,                 2.0948,              0.0010564,              0.0010564,              0.0010564
                     39,                0.71979,                0.69324,                 1.0943,                0.46316,                0.58333,                0.40136,                0.22067,                 1.7846,                 2.4081,                 1.9719,              0.0010399,              0.0010399,              0.0010399
                     40,                0.72444,                0.56781,                 1.0976,                0.61153,                0.33333,                0.39404,                0.21246,                   1.59,                 2.3717,                 1.7201,              0.0010234,              0.0010234,              0.0010234
                     41,                0.81992,                0.62112,                  1.136,                0.61153,                0.33333,                0.39404,                0.21246,                   1.59,                 2.3717,                 1.7201,              0.0010069,              0.0010069,              0.0010069
                     42,                0.71643,                0.67403,                 1.0925,                0.47002,                0.41667,                0.43559,                0.22508,                 1.7487,                 2.2668,                 1.7963,             0.00099036,             0.00099036,             0.00099036
                     43,                0.72483,                0.59687,                 1.0715,                0.74609,                0.49088,                0.60313,                0.31742,                 1.7129,                 1.7328,                 1.8306,             0.00097386,             0.00097386,             0.00097386
                     44,                0.79015,                0.58899,                 1.1217,                0.70657,                0.66667,                0.72645,                 0.4067,                 1.4936,                 1.4661,                 1.8069,             0.00095736,             0.00095736,             0.00095736
                     45,                0.76384,                0.57368,                 1.1211,                0.70657,                0.66667,                0.72645,                 0.4067,                 1.4936,                 1.4661,                 1.8069,             0.00094085,             0.00094085,             0.00094085
                     46,                0.73856,                   0.57,                 1.1157,                0.55948,                    0.5,                0.55998,                0.35811,                  1.412,                  1.613,                 1.7053,             0.00092435,             0.00092435,             0.00092435
                     47,                0.71534,                0.55244,                 1.0682,                0.69029,                0.58333,                0.59495,                0.39112,                 1.3684,                 1.5824,                 1.5619,             0.00090785,             0.00090785,             0.00090785
                     48,                0.78872,                0.64324,                 1.1672,                0.81895,                    0.5,                 0.6001,                0.37565,                 1.4538,                 1.8594,                 1.5355,             0.00089134,             0.00089134,             0.00089134
                     49,                0.69813,                0.56094,                 1.0809,                0.81895,                    0.5,                 0.6001,                0.37565,                 1.4538,                 1.8594,                 1.5355,             0.00087484,             0.00087484,             0.00087484
                     50,                 0.8266,                0.64992,                 1.1568,                0.97468,                0.58333,                0.66315,                0.46738,                  1.487,                 2.1461,                 1.5769,             0.00085834,             0.00085834,             0.00085834
                     51,                0.69552,                0.54197,                 1.0512,                0.63164,                0.57251,                0.59323,                0.37671,                 1.3798,                 2.2541,                 1.5294,             0.00084184,             0.00084184,             0.00084184
                     52,                0.73218,                0.59335,                 1.1184,                0.41047,                0.58333,                0.49212,                0.27714,                 1.4618,                 2.0825,                 1.6187,             0.00082533,             0.00082533,             0.00082533
                     53,                0.73113,                0.62815,                 1.0993,                0.41047,                0.58333,                0.49212,                0.27714,                 1.4618,                 2.0825,                 1.6187,             0.00080883,             0.00080883,             0.00080883
                     54,                0.80986,                 0.6012,                 1.1487,                0.45476,                0.58333,                0.52684,                0.32879,                 1.4674,                 2.0765,                 1.5665,             0.00079233,             0.00079233,             0.00079233
                     55,                0.75547,                0.55574,                 1.0865,                0.69651,                0.58333,                0.67045,                0.42928,                 1.4128,                 1.4682,                 1.5158,             0.00077582,             0.00077582,             0.00077582
                     56,                0.66111,                0.46883,                 1.0525,                0.79852,                0.66112,                0.74064,                0.51306,                 1.3408,                 1.0511,                 1.6129,             0.00075932,             0.00075932,             0.00075932
                     57,                0.59298,                0.50285,                 1.0077,                0.79852,                0.66112,                0.74064,                0.51306,                 1.3408,                 1.0511,                 1.6129,             0.00074282,             0.00074282,             0.00074282
                     58,                 0.6637,                0.48602,                 1.0704,                0.70921,                0.81409,                0.77999,                0.55281,                 1.2878,                 1.0352,                 1.5593,             0.00072631,             0.00072631,             0.00072631
                     59,                0.69685,                0.52305,                 1.1064,                0.76616,                0.82003,                0.79908,                0.58982,                 1.2684,                0.85983,                 1.5315,             0.00070981,             0.00070981,             0.00070981
                     60,                0.62808,                0.47272,                 1.0185,                0.83194,                0.82568,                0.83182,                0.58387,                 1.2047,                0.87622,                 1.4219,             0.00069331,             0.00069331,             0.00069331
                     61,                0.62054,                0.50033,                 1.0469,                0.83194,                0.82568,                0.83182,                0.58387,                 1.2047,                0.87622,                 1.4219,              0.0006768,              0.0006768,              0.0006768
                     62,                0.64191,                0.50211,                 1.0802,                0.82977,                0.83333,                0.86907,                0.58841,                 1.2568,                0.86316,                 1.4572,              0.0006603,              0.0006603,              0.0006603
