                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.95953,                0.64356,                 1.2254,                 0.9495,                0.91738,                0.93157,                0.57543,                 1.3293,                0.66227,                 1.4465,              0.0011059,              0.0011059,              0.0011059
                     36,                0.95444,                 0.6346,                 1.2312,                0.92241,                0.87805,                0.93053,                0.58935,                 1.3282,                0.66392,                 1.4079,              0.0010894,              0.0010894,              0.0010894
                     37,                0.95929,                0.63415,                 1.2416,                0.94508,                0.85366,                0.92782,                 0.5665,                 1.3877,                0.76409,                 1.4034,              0.0010729,              0.0010729,              0.0010729
                     38,                0.94301,                0.65627,                 1.2172,                0.87667,                0.95122,                0.93337,                 0.5299,                 1.3862,                0.71726,                 1.5025,              0.0010564,              0.0010564,              0.0010564
                     39,                  0.976,                0.64571,                 1.2385,                0.88743,                0.96156,                0.93746,                0.57207,                 1.3883,                0.65473,                 1.4887,              0.0010399,              0.0010399,              0.0010399
                     40,                0.87358,                0.58254,                 1.1647,                 0.8649,                0.97561,                0.93447,                0.60666,                 1.2421,                0.68453,                  1.382,              0.0010234,              0.0010234,              0.0010234
                     41,                0.89412,                0.56969,                 1.1659,                0.92097,                0.92683,                0.92612,                0.59358,                 1.2533,                0.67148,                 1.3917,              0.0010069,              0.0010069,              0.0010069
                     42,                0.92752,                0.61345,                 1.1632,                0.92045,                0.95122,                0.95461,                0.60336,                 1.2231,                 0.6206,                 1.3944,             0.00099036,             0.00099036,             0.00099036
                     43,                0.95149,                0.62035,                 1.2007,                0.95206,                0.96883,                0.94409,                 0.6182,                 1.1501,                0.58968,                 1.2982,             0.00097386,             0.00097386,             0.00097386
                     44,                0.86524,                0.57337,                 1.1556,                 0.9511,                0.97561,                0.95114,                0.62553,                 1.2143,                0.60641,                 1.3074,             0.00095736,             0.00095736,             0.00095736
                     45,                 0.8005,                0.52662,                 1.1158,                0.95233,                0.97561,                0.95618,                0.63261,                 1.2249,                0.65829,                 1.3362,             0.00094085,             0.00094085,             0.00094085
                     46,                0.87216,                 0.5343,                 1.1655,                 0.9608,                0.95122,                0.97152,                0.61887,                 1.3095,                0.72238,                  1.427,             0.00092435,             0.00092435,             0.00092435
                     47,                0.86506,                0.55121,                 1.1639,                0.97409,                0.91723,                0.96561,                0.61589,                 1.3579,                0.81712,                 1.4791,             0.00090785,             0.00090785,             0.00090785
                     48,                0.87721,                0.57563,                 1.1629,                 0.9039,                0.95122,                0.95246,                0.58407,                  1.381,                 0.7781,                 1.5366,             0.00089134,             0.00089134,             0.00089134
                     49,                0.84777,                0.53957,                 1.1761,                0.97309,                0.97561,                0.95531,                0.60053,                 1.3947,                0.70616,                   1.47,             0.00087484,             0.00087484,             0.00087484
                     50,                0.83622,                0.53786,                 1.1554,                0.94978,                0.97561,                0.95191,                 0.6284,                 1.2318,                 0.6646,                 1.3431,             0.00085834,             0.00085834,             0.00085834
                     51,                0.79496,                0.50929,                 1.1193,                0.97343,                0.97561,                0.95339,                0.62329,                 1.2326,                 0.5593,                 1.3586,             0.00084184,             0.00084184,             0.00084184
                     52,                0.80555,                0.53612,                 1.1194,                0.97036,                0.97561,                 0.9556,                0.58215,                 1.4146,                0.62673,                 1.5592,             0.00082533,             0.00082533,             0.00082533
                     53,                0.82291,                0.51136,                 1.1249,                0.90745,                0.97561,                0.94251,                0.58734,                 1.3619,                  0.735,                 1.5106,             0.00080883,             0.00080883,             0.00080883
